Temporal Dark Patterns Present,Monetary Dark Patterns Present,Social Dark Patterns Present,Psychological Dark Patterns Present,Temporal Dark Patterns Absence,Monetary Dark Patterns Absence,Social Dark Patterns Absence,Psychological Dark Patterns Absence
17,20,10,11,4,11,9,6
44,63,26,40,17,28,28,16
79,115,61,71,37,52,52,27
33,53,28,33,16,24,21,16
19,34,15,23,7,15,13,9
44,79,35,47,29,28,33,14
9,12,7,9,4,6,6,3
24,49,18,23,8,14,21,15
10,16,9,6,4,6,5,7
68,69,27,46,12,35,35,18
20,37,13,24,8,17,14,8
3,6,2,2,1,2,0,1
8,11,6,9,4,5,6,1
5,2,2,2,2,0,0,0
4,6,4,5,2,3,3,2
36,46,4,20,5,10,19,9
14,18,11,15,7,10,10,5
48,83,26,54,24,32,44,18
36,55,29,34,14,21,23,19
7,17,8,7,7,3,4,6
20,37,19,23,15,17,15,10
7,16,7,10,7,6,7,4
12,14,4,9,1,5,10,4
4,6,5,5,3,4,2,2
5,7,3,3,0,3,3,3
5,7,4,4,2,4,3,3
5,7,4,4,2,4,3,3
5,9,3,3,2,2,4,4
5,6,3,4,0,4,3,3
5,7,3,5,2,4,4,2
5,7,3,5,2,4,4,2
5,7,4,4,2,4,3,3
5,7,5,3,2,3,2,4
5,7,3,5,2,4,4,2
5,7,4,4,2,4,3,3
5,8,4,3,2,3,3,4
4,4,3,3,0,3,2,0
4,7,1,2,1,2,2,0
13,22,13,14,7,11,7,7
9,9,6,2,1,3,4,1
93,108,60,89,113,50,49,0
4,7,0,1,1,0,2,0
4,3,3,2,0,3,0,0
10,11,8,10,4,10,5,4
4,4,0,3,0,1,0,0
4,4,1,1,0,1,0,0
25,30,18,24,8,21,17,11
6,6,2,5,0,4,5,2
3,1,2,2,0,0,0,0
3,1,0,5,0,0,0,0
6,7,3,3,0,3,4,4
10,14,5,9,4,6,8,5
5,8,2,4,1,3,5,2
13,27,7,12,8,6,14,9
9,11,7,7,4,6,3,6
14,21,6,12,5,6,15,4
13,18,8,12,5,7,10,6
8,13,8,7,5,5,6,5
35,54,24,29,13,23,24,22
10,10,3,9,2,6,6,3
24,36,10,22,8,17,18,10
11,18,2,12,2,5,7,4
16,22,10,9,5,10,11,10
17,27,10,15,10,8,14,6
9,13,8,3,3,4,5,6
22,29,4,11,3,8,14,10
8,17,3,3,5,2,6,3
9,13,5,11,5,7,9,3
19,24,16,14,8,14,8,10
12,19,11,13,7,10,10,8
4,4,0,2,1,0,0,0
18,8,3,4,8,3,4,3
5,6,5,3,2,5,2,4
3,7,4,5,4,4,3,2
6,7,2,4,1,4,5,3
4,7,5,3,3,4,2,4
5,7,4,3,2,4,3,4
4,7,3,5,3,4,4,2
5,7,3,4,2,3,4,3
6,6,2,5,1,5,5,2
4,5,4,6,3,6,3,0
3,6,4,6,4,5,3,1
4,8,3,4,3,3,4,2
5,9,0,6,2,2,7,1
4,7,2,6,3,4,4,1
9,17,6,6,5,5,8,8
